place_type,place_name,description
인구밀집지역,동대문역,동대문 디자인 플라자와 가까워 패션과 문화의 중심지
인구밀집지역,뚝섬역,한강공원과의 접근성이 뛰어나 자연을 즐길 수 있는 역
인구밀집지역,미아사거리역,"상업과 주거가 조화롭게 어우러진 지역으로, 다양한 편의시설이 위치한 역"
인구밀집지역,발산역,공항철도와 연결되어 있어 교통이 편리한 주요 역
인구밀집지역,북한산우이역,북한산 등산로와 가까워 자연을 즐길 수 있는 출발점
인구밀집지역,사당역,교통 편의성과 다양한 상업시설이 조화를 이루는 지역
인구밀집지역,삼각지역,"서울의 주요 교통 허브로, 여러 노선이 교차하는 중심지"
인구밀집지역,서울대입구역,서울대학교와 인접해 있어 학생과 젊은이들이 많이 찾는 지역
인구밀집지역,서울식물원·마곡나루역,자연과 식물을 가까이에서 즐길 수 있는 현대적인 식물원과 연결된 역
인구밀집지역,서울역,"서울의 교통 중심지로, 국내외 이동이 편리한 대규모 기차역"
인구밀집지역,선릉역,비즈니스 중심지와 가까워 직장인들이 많이 이용하는 역
인구밀집지역,성신여대입구역,성신여자대학교와 인접해 있어 젊은 학생들이 많이 찾는 지역
인구밀집지역,수유역,북한산과 가까워 자연을 즐길 수 있는 주거 지역
인구밀집지역,신논현역·논현역,"강남의 중심부에 위치해 있으며, 다양한 상업시설이 밀집한 지역"
인구밀집지역,신도림역,"교통의 요지로, 여러 노선과 연결된 편리한 역"
인구밀집지역,신림역,서울의 대학가와 인접해 있어 학생들과 젊은이들이 많이 찾는 지역
인구밀집지역,신촌·이대역,"유명한 대학가로, 활기찬 분위기와 다양한 문화가 어우러진 지역"
인구밀집지역,양재역,대형 쇼핑몰과 비즈니스 센터가 인접해 있는 상업 중심지
인구밀집지역,역삼역,"금융과 비즈니스 중심지로, 많은 기업과 사무실이 위치한 지역"
인구밀집지역,연신내역,북한산 등산로와 가까워 자연을 즐길 수 있는 출발점
인구밀집지역,오목교역·목동운동장,"목동 지역의 주요 교통 요지로, 다양한 스포츠 시설이 있는 지역"
인구밀집지역,왕십리역,다양한 교통 노선이 교차하는 서울의 주요 교통 허브
인구밀집지역,용산역,"서울의 역사와 문화가 어우러진 지역으로, 다양한 상업시설이 밀집한 역"
인구밀집지역,이태원역,글로벌 문화가 살아 숨쉬는 국제적인 거리와 가까운 역
인구밀집지역,장지역,"서울의 동쪽 교통 중심지로, 다양한 대중교통 수단이 연결된 지역"
인구밀집지역,장한평역,대규모 산업단지와 인접해 있어 비즈니스 중심지로 성장하고 있는 역
인구밀집지역,천호역,다양한 쇼핑과 먹거리가 밀집한 번화가와 가까운 역
인구밀집지역,총신대입구(이수)역,대학가와 인접해 있어 젊은 분위기가 가득한 지역
인구밀집지역,충정로역,서울의 역사적인 명소와 상업시설이 밀집한 중심지
인구밀집지역,합정역,트렌디한 카페와 음식점이 많은 젊은 층의 핫플레이스
인구밀집지역,혜화역,"대학가와 문화예술의 중심지로, 다양한 공연과 전시가 열리는 지역"
인구밀집지역,홍대입구역(2호선),젊음과 창의력이 넘치는 예술과 문화의 중심지인 홍대의 주요 역
인구밀집지역,회기역,경희대학교와 가까워 학생들이 많이 찾는 지역
발달상권,4·19 카페거리,"역사적인 의미를 지닌 거리로, 다양한 카페와 문화 공간이 있는 장소"
발달상권,가락시장,신선한 농산물과 해산물이 가득한 서울의 대표적인 재래시장
발달상권,가로수길,세련된 상점과 카페가 즐비한 트렌디한 거리
발달상권,광장(전통)시장,전통적인 먹거리와 다양한 상품이 있는 서울의 대표적인 재래시장
발달상권,김포공항,"국내외 여행의 출발점으로, 편리한 교통과 다양한 서비스가 제공되는 공항"
발달상권,낙산공원·이화마을,아름다운 경관과 전통적인 마을이 어우러진 문화유산 지역
발달상권,노량진,신선한 수산물과 다양한 먹거리가 있는 시장과 인접한 지역
발달상권,덕수궁길·정동길,역사적인 건축물과 아름다운 거리 풍경이 어우러진 관광 명소
발달상권,방배역 먹자골목,다양한 음식을 즐길 수 있는 인기 있는 먹자골목
발달상권,북촌한옥마을,"전통 한옥이 잘 보존된 지역으로, 한국의 역사와 문화를 체험할 수 있는 곳"
발달상권,서촌,"예술과 문화가 숨 쉬는 아기자기한 거리로, 카페와 갤러리가 많은 지역"
발달상권,성수카페거리,개성 있는 카페와 상점들이 즐비한 트렌디한 지역
발달상권,수유리 먹자골목,"다양한 음식점이 밀집해 있는 지역으로, 맛있는 음식을 즐길 수 있는 곳"
발달상권,쌍문동 맛집거리,"다양한 먹거리가 가득한 지역으로, 현지인들이 많이 찾는 맛집들이 위치한 곳"
발달상권,압구정로데오거리,고급 브랜드와 트렌디한 카페가 즐비한 서울의 대표적인 쇼핑 거리
발달상권,여의도,"금융과 비즈니스의 중심지로, 한강과 가까운 다양한 공원과 여가 시설이 있는 지역"
발달상권,연남동,트렌디한 카페와 독립 서점이 많은 젊음의 거리
발달상권,영등포 타임스퀘어,"쇼핑, 영화, 음식이 어우러진 복합문화시설로, 다양한 즐길거리가 있는 곳"
발달상권,외대앞,외국어대학교와 인접해 있어 다양한 문화와 음식이 공존하는 지역
발달상권,용리단길,개성 있는 카페와 상점들이 즐비한 핫플레이스
발달상권,이태원 앤틱가구거리,독특한 앤틱 가구와 소품을 만나볼 수 있는 특별한 거리
발달상권,인사동,"전통과 현대가 어우러진 문화예술의 중심지로, 다양한 전통 공예품과 먹거리가 있는 곳"
발달상권,창동 신경제 중심지,디지털 산업과 스타트업이 밀집한 혁신적인 비즈니스 지역
발달상권,청담동 명품거리,고급 브랜드와 럭셔리 쇼핑이 즐비한 서울의 대표적인 명품 거리
발달상권,청량리 제기동 일대 전통시장,전통시장과 현대적인 상업시설이 어우러져 다양한 먹거리를 즐길 수 있는 지역
발달상권,해방촌·경리단길,"다양한 문화와 예술이 숨 쉬는 지역으로, 개성 있는 카페와 음식점이 많은 곳"
발달상권,DDP(동대문디자인플라자),"현대적 건축물 속에서 패션과 디자인, 문화행사를 즐길 수 있는 복합문화공간"
발달상권,DMC(디지털미디어시티),"미디어와 콘텐츠 산업의 중심지로, 혁신적인 기업과 시설들이 모여 있는 지역"
공원,강서한강공원,"한강을 따라 조성된 자연 친화적인 공원으로, 여가와 운동을 즐길 수 있는 공간"
공원,고척돔,다양한 공연과 스포츠 이벤트가 열리는 대형 다목적 공연장
공원,광나루한강공원,한강변에서 여유롭게 산책하고 자전거를 탈 수 있는 쾌적한 공간
공원,광화문광장,"역사적인 명소가 밀집한 서울의 중심부로, 다양한 문화행사가 열리는 공간"
공원,국립중앙박물관·용산가족공원,한국의 역사와 문화를 체험할 수 있는 박물관과 가족이 함께 즐길 수 있는 공원
공원,난지한강공원,"한강에서 자연을 만끽할 수 있는 넓은 공간으로, 다양한 여가활동이 가능한 곳"
공원,남산공원,서울의 상징인 남산타워가 위치한 자연과 경관이 아름다운 공원
공원,노들섬,한강의 아름다운 풍경을 감상할 수 있는 문화공간과 여가시설이 있는 섬
공원,뚝섬한강공원,한강에서 다양한 액티비티를 즐길 수 있는 쾌적한 공원
공원,망원한강공원,한강의 경치를 감상하며 여유롭게 산책할 수 있는 공간
공원,반포한강공원,한강의 아름다운 야경과 함께 다양한 문화행사를 즐길 수 있는 공간
공원,북서울꿈의숲,"자연과 함께하는 힐링 공간으로, 다양한 생태체험과 산책로가 조성된 공원"
공원,불광천,자연과 함께하는 산책로가 조성된 도심 속의 소중한 하천
공원,서리풀공원·몽마르뜨공원,"예술과 문화가 어우러진 아기자기한 공원으로, 다양한 볼거리가 있는 공간"
공원,서울광장,시민들의 다양한 문화행사가 열리는 서울의 중심 광장
공원,서울대공원,동물원과 식물원이 함께 있는 가족 단위의 여가 공간
공원,서울숲공원,"도심 속에서 자연을 즐길 수 있는 생태공원으로, 다양한 여가활동이 가능한 공간"
공원,아차산,아름다운 경관과 함께 하이킹을 즐길 수 있는 자연 친화적인 산
공원,양화한강공원,한강변에서 여유롭게 산책하고 자전거를 탈 수 있는 쾌적한 공간
공원,어린이대공원,가족 단위로 즐길 수 있는 놀이시설과 자연이 어우러진 어린이 전용 공원
공원,여의도한강공원,한강의 경치를 감상하며 다양한 문화행사를 즐길 수 있는 대표적인 공원
공원,월드컵공원,"축구와 문화가 어우러진 넓은 공원으로, 다양한 스포츠 시설이 마련된 공간"
공원,응봉산,"서울 시내를 한눈에 내려다볼 수 있는 경치 좋은 산으로, 하이킹에 적합한 장소"
공원,이촌한강공원,"한강을 따라 조성된 공원으로, 운동과 여가를 즐길 수 있는 공간"
공원,잠실종합운동장,다양한 스포츠 이벤트와 문화행사가 열리는 대규모 복합체육시설
공원,잠실한강공원,한강변에서 즐기는 다양한 액티비티와 여유로운 산책로가 조성된 공원
공원,잠원한강공원,한강의 아름다운 풍경을 감상할 수 있는 조용하고 쾌적한 공간
공원,청계산,자연과 함께하는 하이킹 코스가 유명한 도심 근처의 산
공원,청와대,"대한민국의 대통령 관저로, 역사적 의미가 깊은 장소"
발달상권,북창동 먹자골목,다양한 전통 음식과 현대적인 먹거리가 가득한 인기 있는 먹자골목
발달상권,남대문시장,"서울의 대표적인 재래시장으로, 다양한 상품과 먹거리를 즐길 수 있는 곳"
발달상권,익선동,"전통과 현대가 어우러진 거리로, 독특한 카페와 상점들이 즐비한 문화 공간"
